"Question","Topics","Subject"
"Two sellers offering the same product are in competition with each other.","Economics","Social Studies"
" Items or concepts used to increase one's economic influence are called capital","Economics","Social Studies"
"The system where private entities are able to conduct transactions free from government regulations is called  laissez-faire                .","Economics","Social Studies"
"What was the name of Karl Marx's three volume work aimed at exposing the exploitive nature of capitalism","Economics","Social Studies"
"The Industrial Revolution allowed for a rapid increase in the production of capital","Economics","Social Studies"
"The term ""capitalism"" was coined by economist Adam Smith","Economics","Social Studies"
"Capitalism is believed to have developed in France","Economics","Social Studies"
"Keynesian economists argue that a free market needs to be balanced by strong government regulations","Economics","Social Studies"
"Services are something one person does for another","Economics","Social Studies"
"What is that are things you would like to have but do not need","Economics","Social Studies"
"Colonialism is linked to the development of capitalism","Economics","Social Studies"
"A person who buys goods or services is called a consumer","Economics","Social Studies"
"When you get your hair cut you are paying for a service","Economics","Social Studies"
"A plan for how you spend and save your money is called a  budget","Economics","Social Studies"
"Oppurtunity cost is the value of the thing you give up when you choose one thing over another","Economics","Social Studies"
"The invisible barrier that prevents women from advancing in the workplace is known as discrimination wall","Economics","Social Studies"
"If the demand is  high  the supply will be low","Economics","Social Studies"
"Value is what something is worth to a person","Economics","Social Studies"
"Consumer is someone who buys or pays for a good or service","Economics","Social Studies"
"According to  Law of supply , the higher the price, the larger the quantity produced","Economics","Social Studies"
"The term ""capitalist"" dates to 11th centuary","Economics","Social Studies"
"A  producer is someone who creates a good or service for others to buy or use","Economics","Social Studies"
"Trade surplus occurs when a country spends more on its imports than it makes from exports","Economics","Social Studies"
"What are goods and services offered by businesses","Economics","Social Studies"
"To bring things into your country from another country is called  import           .","Economics","Social Studies"
"Income is all the money a person get from a job or other source","Economics","Social Studies"
"When you recycle paper, which natural resource are you helping to conserve","Economics","Social Studies"
"What is a tariff","Economics","Social Studies"
"The value in money in the output of goods and services of a country is called what","Economics","Social Studies"
"What is the study of the way we use goods and money","Economics","Social Studies"
"A type of economy where products, prices, and services are determined by the market, not the government is the what","Economics","Social Studies"
"How do businesses help people in a community","Economics","Social Studies"
"The Law of Supply states that, ""the higher the price of a good, the  more that the supplier should sell","Economics","Social Studies"
"Opportunity cost is the benefit you give up by choosing to do one thing instead of another","Economics","Social Studies"
"A tariff is a tax on  imports","Economics","Social Studies"
"An export is a good that a country sells to another country","Economics","Social Studies"
"The laws of supply and demand play important roles in traditional type of economy","Economics","Social Studies"
"A person who studies how societies use valuable resources is an economist","Economics","Social Studies"
"The resources of an economic system, called Factors of Production are grouped into four categories which are land, capital, labor, and entrepreneurs","Economics","Social Studies"
"A product that is brought into a country to be sold is called an import","Economics","Social Studies"
"The Law of Demand states, ""the higher the price of the good, the more the buyer/consumer wants to buy.""","Economics","Social Studies"
"something found in nature that people can use are natural resource","Economics","Social Studies"
"scarcity is an economic condition that exists when demand is greater than supply","Economics","Social Studies"
"traders makes and sells goods","Economics","Social Studies"
"To be successful a business must produce goods and services that people want","Economics","Social Studies"
"A service is a thing a person does for you","Economics","Social Studies"
"A good is a thing you do for money","Economics","Social Studies"
"Sending things to another country is called export","Economics","Social Studies"
"A doctor is an example of human resource","Economics","Social Studies"
"Henry Ford sold more cars at a lower price by using cheaper materials","Economics","Social Studies"
"Two goods that are bought and used together are complements","Economics","Social Studies"
"The largest trading partner of the United States is  China   ","Economics","Social Studies"
"Difference between the amount earned and the amount spent in buying, operating, or producing something is profit","Economics","Social Studies"
"What is the only company in the Dow Jones industrial average that was one of its original stocks in 1896","Economics","Social Studies"
"Things that people make or grow and sell are called goods","Economics","Social Studies"
"A government using tools such as taxes and debt to help control the economy is called fiscal policy","Economics","Social Studies"
"Excise tax the name for a tax paid for the manufacture or sale of certain goods and services?","Economics","Social Studies"
"The way people in a state or country use resources to meet their needs is economy","Economics","Social Studies"
"Factors of production that are used in the production of goods and services are resources","Economics","Social Studies"
"What might happen if the demand for a new sneaker began to quickly rise","Economics","Social Studies"
"the people and ideas needed to produce something is human resource","Economics","Social Studies"
"Entrepreneurs are motivated mainly by the hope of making a profit","Economics","Social Studies"
"Today the United States's economy could best be categorized as a True Capitalist economy","Economics","Social Studies"
"Name three kinds of transportation that move goods","Economics","Social Studies"
"Owning shares in a company entitles the bearer to a portion of its profits called  bonds","Economics","Social Studies"
"Stocks are traded at stock exchanges","Economics","Social Studies"
"initial public offering is the term given for a company putting shares on the stock market for the first time","Economics","Social Studies"
